"동별","산업대분류별","구분별","항목","단위","2023 년",
"합계","합계","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","1177287",
"합계","합계","여성대표자","사업체현황(산업대분류별/동별)(2017년 이후)","","410925",
"합계","합계","남","사업체현황(산업대분류별/동별)(2017년 이후)","","3175955",
"합계","합계","여","사업체현황(산업대분류별/동별)(2017년 이후)","","2624662",
"합계","농업 임업 및 어업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","112",
"합계","광업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","21",
"합계","제조업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","67269",
"합계","전기 가스 증기 및 공기조절 공급업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","755",
"합계","수도 하수 및 폐기물 처리 원료 재생업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","741",
"합계","건설업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","66079",
"합계","도매 및 소매업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","332064",
"합계","운수 및 창고업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","117785",
"합계","숙박 및 음식점업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","138619",
"합계","정보통신업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","57551",
"합계","금융 및 보험업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","24874",
"합계","부동산업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","71119",
"합계","전문 과학 및 기술 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","80707",
"합계","사업시설 관리 사업 지원 및 임대 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","28626",
"합계","공공행정 국방 및 사회보장 행정","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","1267",
"합계","교육 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","49232",
"합계","보건업 및 사회복지 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","32286",
"합계","예술 스포츠 및 여가관련 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","28777",
"합계","협회 및 단체 수리 및 기타 개인 서비스업","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","79403",
"종로구","합계","사업체수","사업체현황(산업대분류별/동별)(2017년 이후)","개","46977",
"종로구","합계","여성대표자","사업체현황(산업대분류별/동별)(2017년 이후)","","16120",
"종로구","합계","남","사업체현황(산업대분류별/동별)(2017년 이후)","","145936",
"종로구","합계","여","사업체현황(산업대분류별/동별)(2017년 이후)","","124506",
