자치구,행정동,총_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,행정동_코드
중구,소공동,283155,792,64251,93068,69985,43029,12030,11020520
영등포구,여의동,250897,558,46135,89946,64522,38476,11260,11190540
강남구,역삼1동,210120,237,42941,62258,53803,37859,13022,11230640
강남구,삼성1동,185001,465,37274,55473,49542,32849,9398,11230580
송파구,방이2동,177343,247,29158,46256,44436,38808,18438,11240580
종로구,종로1?2?3?4가동,152964,2055,31082,46303,41827,24114,7583,11010610
강남구,삼성2동,137200,341,26424,41448,34880,22921,11186,11230590
중구,명동,129476,69,22576,42998,34747,22557,6529,11020550
강남구,대치2동,126227,518,24183,36299,31456,23105,10666,11230790
송파구,잠실6동,110575,272,18389,28859,30323,25995,6737,11240770
금천구,가산동,106018,305,20898,32991,26264,15520,10040,11180510
강남구,대치4동,93925,162,17843,28807,24184,15304,7625,11230630
서초구,서초2동,89630,126,18286,28228,22779,14945,5266,11220520
중구,광희동,82771,654,23743,21536,17007,13220,6611,11020590
송파구,문정2동,78538,111,11179,23712,24038,14201,5297,11240690
강남구,도곡2동,69687,331,13361,27264,19960,7267,1504,11230670
강남구,청담동,67657,33,14127,21979,16754,10318,4446,11230780
강남구,논현1동,66282,34,15012,20100,15395,10158,5583,11230520
서초구,서초1동,66211,37,13288,18303,15469,14525,4589,11220510
용산구,이태원1동,66115,16,15471,22618,15018,10519,2473,11030650
중구,회현동,65457,139,12859,22814,17688,9463,2494,11020540
영등포구,문래동,64103,23,9917,20949,19753,10100,3361,11190760
구로구,구로3동,62568,196,13005,21086,15875,7794,4612,11170540
용산구,한강로동,61853,54,12489,19309,17666,9166,3169,11030730
서초구,반포4동,57334,12,6210,12747,15281,19910,3174,11220600
강남구,압구정동,54753,91,11979,16924,12798,8313,4648,11230770
종로구,사직동,50999,66,7160,14557,15219,9897,4100,11010530
서초구,서초3동,47616,1,8462,13999,11971,9131,4052,11220530
강남구,논현2동,46908,6,9373,14050,11465,7503,4511,11230530
송파구,가락본동,40991,1,5258,9515,9874,9325,7018,11240650
서초구,양재2동,37137,0,4881,9044,10468,9729,3015,11220670
양천구,목1동,33667,42,5701,9077,8344,6891,3612,11150510
용산구,한남동,33574,14,5570,9950,8831,7698,1511,11030740
서초구,양재1동,29410,233,6386,9530,7404,3859,1998,11220660
강남구,신사동,28261,18,5995,8637,7031,4302,2278,11210680
강남구,신사동,28261,18,5995,8637,7031,4302,2278,11230510
서초구,도곡1동,27837,84,5554,7838,7158,5347,1856,11230660
성동구,성수2가3동,25263,35,4167,6439,6311,5064,3247,11040680
마포구,서교동,22578,0,4576,6351,5335,3775,2541,11140660
중구,을지로동,20995,5,4464,5882,5036,3683,1925,11020600
서초구,잠원동,20765,0,4710,6197,4920,3101,1837,11220550
서초구,방배본동,20662,33,3879,5345,5503,3698,2204,11220610
마포구,도화동,20104,0,3770,5402,5256,3978,1698,11140750
강남구,수서동,19403,15,2762,5225,5216,3859,2326,11230750
동대문구,용신동,18702,0,2311,4124,4611,4583,3073,11060810
서초구,방배4동,18507,13,3334,5282,4587,3484,1807,11220650
송파구,오금동,18461,0,2449,4384,4679,4453,2496,11240600
송파구,잠실본동,18274,10,2787,4033,4432,3907,3105,11240710
성북구,종암동,17974,0,1535,4580,6381,5138,340,11080840
종로구,종로5?6가동,17792,363,4169,5146,4410,2721,983,11010630
서초구,방배1동,17400,41,3230,5304,4395,3059,1371,11220620
성북구,성북동,17326,0,2276,4258,5027,5009,756,11080810
