자치구,행정동,당월_매출_금액,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,행정동_코드
송파구,가락1동,41576905861.181816,33215191523.272728,8361714337.909091,6376524744.818182,7579946949.727273,6059152668.272727,6326743399.090909,6872823761.363636,6533545929.545455,1828168408.3636365,12998659327.181818,8841270000.09091,6023011993.272727,6114795351.454545,3183857683.2727275,4415311505.909091,6275752.909090909,954144043.818182,4779171919.0,8095289890.545455,8266144764.272727,10106327140.454546,11240660
동작구,노량진1동,21767049254.08772,13271562957.45614,8495486296.631579,1996127912.526316,2956689952.894737,2619583204.5614038,2411135999.2807016,3288025888.1929827,5325292709.280702,3170193587.3508773,730943138.9298246,3166179140.877193,4081778340.122807,5009055795.912281,7905086887.438597,874005950.8070176,21104790.701754387,2107148738.964912,4211708766.9473686,3225638162.8070173,3518355580.4561405,4842995356.22807,11200720
금천구,가산동,9623591528.27381,6071843557.547619,3551747970.7261906,1145419501.1666667,1199400359.0,1201048220.3333333,1215234741.25,1310740735.797619,1748813577.2261906,1802934393.5,38350890.11904762,533886291.8809524,2815337585.75,3371723279.25,2638917992.0,225375489.27380952,16604943.964285716,771070666.2261904,2136466274.1309524,2365144667.619048,2124650846.3809524,1537144995.8809524,11180510
송파구,잠실6동,9372802102.030304,6040842749.484848,3331959352.5454545,1170572853.7272727,1243902829.060606,1179113094.909091,1140494532.939394,1306759438.8484848,1809358151.878788,1522601200.6666667,6228820.03030303,356926876.93939394,2420657310.060606,2915983207.6666665,3239013765.787879,433992121.54545456,65280006.48484848,1545367561.060606,2806508807.848485,2246519830.242424,1409552055.6363635,994027405.4545456,11240770
서초구,서초2동,8374199301.714286,6635463594.938775,1738735706.7755103,1402983129.8979592,1322093865.2653062,1096336390.0204082,1190581471.3061223,1623468738.4489796,1279179376.6938777,459556330.0816327,240318745.87755105,961215904.1836736,2210524026.265306,2012972647.2857144,2136935091.2244897,812232886.8775511,71854715.69387755,1828264983.3469388,2224249880.204081,1592745795.0816326,1411700176.7551022,736740809.4489796,11220520
용산구,한강로동,7196961197.525252,6007984882.828282,1188976314.6969695,1135123891.9494948,1655659946.747475,853147951.080808,1107049466.0505052,1257003627.0,720330286.1212121,468646028.5757576,25213955.82828283,481734530.1212121,2318202707.767677,2690680646.434344,1536661109.060606,144468248.3131313,8298116.242424242,398783519.040404,865788431.1212121,1181747262.89899,1241854474.1111112,783643017.4141414,11030730
동대문구,제기동,6132242355.238806,4474489244.201492,1657753111.0373137,881628526.6343284,964706229.5746268,821798601.5522388,891904014.9253731,914451871.5149254,1052382883.3134328,605370227.7238806,157939067.20895523,1536666076.8208954,1890207002.186567,1956232761.7910447,563135915.7164179,28061531.51492537,3131538.470149254,90092997.93283582,471341863.9104478,697526188.5895523,1191010655.3059702,3283999381.238806,11060820
중구,소공동,4605026393.288733,3693028651.9084506,911997741.3802816,695136647.471831,789613488.4225352,708985828.5211267,740142551.1830986,759150136.3098592,611335393.6971831,300662347.6830986,134290629.28873238,416754992.9225352,1468585431.8450704,1179632299.4295774,1107416019.2957747,298347020.5070422,15318734.894366195,321390081.14084506,718230928.3802817,701811819.4788733,748239299.1830986,996445029.0352112,11020520
영등포구,여의동,3443024965.5111117,2986289155.4,456735810.1111111,579504928.7555555,631866167.3555555,536294091.8333333,626725010.4888889,611898956.9666667,289201853.4222222,167533956.68888888,72419210.92222223,331411311.48888886,1164024771.9,518925112.4555556,966384152.7333332,389860406.0111112,7373893.744444445,282446958.48888886,651180117.6333333,561101721.8444444,463983361.26666665,323766911.7111111,11190540
종로구,종로1?2?3?4가동,3439261195.5421686,2781054857.46988,658206338.0722891,560308435.4056225,571670909.0361446,512552224.5863454,531626868.3333333,604896420.1084337,417587541.42971885,240618796.6425703,73901919.33333333,310774426.1365462,976783371.4176708,1000931997.7951808,816829619.3815261,260039861.47791165,6792209.176706827,315837874.57831323,654723939.3975904,546447970.5341365,629377401.4497992,691706210.8674699,11010610
강남구,대치2동,3351683278.3125,2745383675.333333,606299602.9791666,541867936.6458334,685701026.2291666,516608983.5,498482012.9583333,502723716.0,334845868.8541667,271453734.125,10894068.041666666,400073937.8958333,1009804324.2916666,765389258.2291666,1017940993.7708334,147580696.08333334,9942655.729166666,258233495.875,598787862.0625,864698785.625,751966328.75,494083720.8125,11230790
송파구,방이2동,3217860700.901316,2107327768.0657892,1110532932.8355262,393457539.8486842,438119976.0197368,413163908.4407895,399008228.6973685,463578115.05921054,611316898.0921053,499216034.7434211,157123240.21710527,137421037.0723684,658793515.0065789,784909660.6381578,1089064199.9539473,390549048.0131579,24996158.59868421,590443885.4539474,929308590.0,663387361.6644737,474408581.92105263,348043395.4736842,11240580
중구,을지로동,3012330783.188406,2660256268.7826085,352074514.4057971,437032925.7826087,690581812.8405797,539175852.6811594,429807501.5652174,563658175.9130435,246715681.8695652,105358832.53623188,34171802.08695652,377551622.71014494,1028117232.2753624,912501396.2898552,469587278.2463768,190401451.57971016,6403749.652173913,218310032.6811594,377136990.768116,477409857.9130435,477109308.3043478,697474535.115942,11020600
