자치구,행정동,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,행정동_코드
종로구,청운효자동,LH,상권확장,100,55,109,52,11010720
종로구,사직동,HH,정체,119,59,109,52,11010530
종로구,삼청동,LH,상권확장,100,57,109,52,11010540
종로구,부암동,HH,정체,113,58,109,52,11010550
종로구,평창동,HH,정체,119,61,109,52,11010560
종로구,무악동,HH,정체,115,62,109,52,11010570
종로구,교남동,LH,상권확장,93,57,109,52,11010580
종로구,가회동,LH,상권확장,107,60,109,52,11010600
종로구,종로1?2?3?4가동,HH,정체,151,68,109,52,11010610
종로구,종로5?6가동,HH,정체,140,67,109,52,11010630
종로구,이화동,LH,상권확장,99,56,109,52,11010640
종로구,혜화동,LH,상권확장,107,53,109,52,11010730
종로구,창신1동,HH,정체,132,71,109,52,11010670
종로구,창신2동,HH,정체,128,59,109,52,11010680
종로구,창신3동,LH,상권확장,108,58,109,52,11010690
종로구,숭인1동,HH,정체,120,59,109,52,11010700
종로구,숭인2동,HL,상권축소,113,49,109,52,11010710
중구,소공동,HH,정체,130,67,109,52,11020520
중구,회현동,HH,정체,156,71,109,52,11020540
중구,명동,HH,정체,123,59,109,52,11020550
중구,필동,HH,정체,125,59,109,52,11020570
중구,장충동,HH,정체,136,61,109,52,11020580
중구,광희동,HH,정체,143,58,109,52,11020590
중구,을지로동,HH,정체,151,72,109,52,11020600
중구,신당동,HH,정체,110,65,109,52,11020690
중구,다산동,HH,정체,119,56,109,52,11020700
중구,약수동,HH,정체,117,57,109,52,11020710
중구,청구동,HH,정체,113,53,109,52,11020720
중구,신당5동,HL,상권축소,111,51,109,52,11020650
중구,동화동,HH,정체,110,53,109,52,11020730
중구,황학동,HH,정체,127,68,109,52,11020670
중구,중림동,HH,정체,122,59,109,52,11020680
성북구,동선동,LL,다이나믹,94,49,109,52,11080830
성북구,돈암1동,LH,상권확장,103,53,109,52,11080580
성북구,돈암2동,LL,다이나믹,96,51,109,52,11080590
성북구,안암동,LL,다이나믹,98,52,109,52,11080600
성북구,보문동,HH,정체,112,53,109,52,11080610
성북구,정릉1동,HL,상권축소,112,52,109,52,11080620
성북구,정릉2동,LH,상권확장,105,56,109,52,11080630
성북구,정릉3동,LH,상권확장,106,56,109,52,11080640
성북구,정릉4동,LH,상권확장,105,55,109,52,11080650
성북구,길음1동,LH,상권확장,97,59,109,52,11080660
성북구,길음2동,LL,다이나믹,88,52,109,52,11080680
성북구,종암동,HH,정체,114,54,109,52,11080840
성북구,월곡1동,HL,상권축소,112,50,109,52,11080710
성북구,월곡2동,LH,상권확장,104,53,109,52,11080720
성북구,장위1동,LL,다이나믹,108,51,109,52,11080760
성북구,장위2동,HH,정체,134,57,109,52,11080770
성북구,장위3동,LH,상권확장,105,57,109,52,11080780
성북구,석관동,HH,정체,115,54,109,52,11080850
강북구,삼양동,HL,상권축소,114,52,109,52,11090690
강북구,미아동,LL,다이나믹,102,48,109,52,11090700
강북구,송중동,LL,다이나믹,98,49,109,52,11090710
강북구,송천동,HL,상권축소,123,51,109,52,11090720
강북구,삼각산동,LL,다이나믹,90,49,109,52,11090730
강북구,번1동,LL,다이나믹,107,46,109,52,11090600
강북구,번2동,HH,정체,113,53,109,52,11090610
강북구,번3동,HL,상권축소,115,50,109,52,11090620
광진구,자양3동,LH,상권확장,99,52,109,52,11050660
광진구,자양4동,LL,다이나믹,107,49,109,52,11050670
광진구,구의1동,HL,상권축소,109,48,109,52,11050600
광진구,구의2동,LH,상권확장,94,55,109,52,11050610
광진구,구의3동,HH,정체,122,58,109,52,11050620
동대문구,용신동,HH,정체,117,54,109,52,11060810
동대문구,제기동,HH,정체,144,65,109,52,11060820
동대문구,전농1동,LH,상권확장,102,53,109,52,11060830
동대문구,전농2동,HH,정체,109,53,109,52,11060840
동대문구,답십리1동,HL,상권축소,109,52,109,52,11060910
동대문구,답십리2동,HH,정체,146,57,109,52,11060860
동대문구,장안1동,HL,상권축소,118,50,109,52,11060870
동대문구,장안2동,LL,다이나믹,107,49,109,52,11060880
동대문구,청량리동,HH,정체,129,57,109,52,11060800
강북구,수유1동,HL,상권축소,121,50,109,52,11090630
강북구,수유2동,LL,다이나믹,106,49,109,52,11090640
강북구,수유3동,LL,다이나믹,96,45,109,52,11090650
강북구,우이동,LL,다이나믹,107,50,109,52,11090740
강북구,인수동,HL,상권축소,110,49,109,52,11090750
도봉구,창1동,LL,다이나믹,103,51,109,52,11100590
용산구,후암동,LH,상권확장,105,58,109,52,11030510
용산구,용산2가동,LL,다이나믹,92,49,109,52,11030520
용산구,남영동,LH,상권확장,108,57,109,52,11030530
용산구,청파동,LH,상권확장,106,53,109,52,11030710
용산구,원효로1동,HH,정체,128,59,109,52,11030720
용산구,원효로2동,HH,정체,141,56,109,52,11030570
용산구,효창동,LH,상권확장,108,60,109,52,11030580
용산구,용문동,HH,정체,121,54,109,52,11030590
용산구,한강로동,HH,정체,123,59,109,52,11030730
용산구,이촌1동,HH,정체,130,65,109,52,11030630
용산구,이촌2동,HH,정체,120,66,109,52,11030640
용산구,이태원1동,HH,정체,110,58,109,52,11030650
용산구,이태원2동,LL,다이나믹,91,48,109,52,11030660
용산구,한남동,LL,다이나믹,91,52,109,52,11030740
용산구,서빙고동,HH,정체,115,65,109,52,11030690
용산구,보광동,HH,정체,123,57,109,52,11030700
성동구,왕십리2동,LH,상권확장,101,53,109,52,11040520
성동구,왕십리도선동,LL,다이나믹,95,50,109,52,11040710
성동구,마장동,HH,정체,142,68,109,52,11040540
성동구,사근동,LH,상권확장,100,53,109,52,11040550
성동구,행당1동,LH,상권확장,103,54,109,52,11040560
성동구,행당2동,LH,상권확장,102,56,109,52,11040570
성동구,응봉동,HL,상권축소,116,51,109,52,11040580
성동구,금호1가동,LH,상권확장,100,53,109,52,11040590
성동구,금호2?3가동,LH,상권확장,108,56,109,52,11040720
성동구,금호4가동,HH,정체,110,56,109,52,11040620
성동구,옥수동,LL,다이나믹,94,49,109,52,11040730
성동구,성수1가1동,LH,상권확장,95,53,109,52,11040650
성동구,성수1가2동,LL,다이나믹,80,51,109,52,11040660
성동구,성수2가1동,LL,다이나믹,107,51,109,52,11040670
성동구,성수2가3동,LH,상권확장,95,55,109,52,11040680
성동구,송정동,HL,상권축소,115,52,109,52,11040690
성동구,용답동,HH,정체,141,58,109,52,11040700
광진구,화양동,LL,다이나믹,86,48,109,52,11050530
광진구,군자동,LL,다이나믹,102,50,109,52,11050540
광진구,중곡1동,LL,다이나믹,104,48,109,52,11050550
광진구,중곡2동,LL,다이나믹,105,49,109,52,11050560
광진구,중곡3동,LL,다이나믹,107,47,109,52,11050570
광진구,중곡4동,LL,다이나믹,108,52,109,52,11050580
광진구,능동,LH,상권확장,93,53,109,52,11050590
광진구,광장동,LH,상권확장,104,55,109,52,11050630
광진구,자양1동,HL,상권축소,112,50,109,52,11050640
광진구,자양2동,HL,상권축소,112,51,109,52,11050650
동대문구,회기동,LL,다이나믹,93,46,109,52,11060710
동대문구,휘경1동,LH,상권확장,105,56,109,52,11060720
동대문구,휘경2동,LL,다이나믹,99,50,109,52,11060730
동대문구,이문1동,HH,정체,112,56,109,52,11060890
동대문구,이문2동,HH,정체,114,53,109,52,11060900
중랑구,면목2동,HL,상권축소,109,48,109,52,11070520
중랑구,면목4동,LL,다이나믹,107,48,109,52,11070540
중랑구,면목5동,LL,다이나믹,103,46,109,52,11070550
중랑구,면목본동,LL,다이나믹,108,47,109,52,11070710
중랑구,면목7동,HL,상권축소,111,50,109,52,11070570
중랑구,면목3?8동,LL,다이나믹,105,49,109,52,11070720
중랑구,상봉1동,LL,다이나믹,93,49,109,52,11070590
중랑구,상봉2동,LL,다이나믹,93,48,109,52,11070600
중랑구,중화1동,HH,정체,110,52,109,52,11070610
중랑구,중화2동,HL,상권축소,112,49,109,52,11070620
중랑구,묵1동,LL,다이나믹,101,49,109,52,11070640
중랑구,묵2동,LL,다이나믹,106,49,109,52,11070650
중랑구,망우본동,LL,다이나믹,102,50,109,52,11070730
중랑구,망우3동,HL,상권축소,110,48,109,52,11070680
중랑구,신내1동,LL,다이나믹,98,50,109,52,11070690
중랑구,신내2동,LL,다이나믹,98,51,109,52,11070700
