"고유번호","언어","상호명","콘텐츠URL","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"15338","ko","1898 명동성당 ","https://korean.visitseoul.net/attractions/1898-명동성당/KOP015338?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP015338","100-809 서울 중구 명동2가 1-1 ","04537 서울 중구 명동길 74 (명동2가, 명동성당) ","02-774-1784","","","성당사무실 화   ~   금 | 09:00 ~ 20:30 토  요  일 | 09:00 ~ 20:00 일  요  일 | 09:00 ~ 21:00 ","","설날, 추석 당일 (성당사무실: 월요일 휴무)","2,3호선 을지로 3가역 12번 출구에서 약 403m (도보 7분) 4호선 명동역 10번 출구에서 약 425m (도보 6분)","명동나들이,명동대성당,명동, 1898광장, 고딕,복합문화공간, 성당",""
"23532","ko","SeMA 벙커 ","https://korean.visitseoul.net/attractions/SeMAbunker/KOP023532?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP023532","150-010 서울 영등포구 여의도동 2-6 ","07327 서울 영등포구 의사당대로 지하 101 (여의도역) ","02-2124-8946","","https://sema.seoul.go.kr/","화요일 ~ 금요일 10:00 - 20:00 토요일?공휴일 10:00 - 19:00","화요일 ~ 일요일","매주 월요일 2024/8/31~2024/12/31까지 운영중단","5,9호선 여의도역 3번 출구에서 약 460m (도보 6분) ","방공호,서울시립미술관, 역사갤러리,서울여행, 벙커, 여의도역, 여의도환승센터, 전시, 지하벙커,복합문화예술공간, 서울,여의도공원,비밀벙커, 여의도, SeMABunker, SeMA벙커",""
"252","ko","63스퀘어","https://korean.visitseoul.net/attractions/63스퀘어/KOP000210?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP000210","150-763 서울 영등포구 여의도동 60 ","07345 서울 영등포구 63로 50 (여의도동, 63한화생명빌딩) ","1833-7001","","","임시휴업","","임시휴업","9호선, 신림선 샛강역 3번 출구에서 약 1.2km (도보 18분)","전망대,63빌딩레스토랑,데이트코스,아쿠아리움,63아쿠아플라넷, 63빌딩전망대,63빌딩, 63아트,63스퀘어,여의도","장애인 전용 주차장,접근가능,엘리베이터,장애인화장실,장애인 안내(휠체어 대여 및 기타)"
"46812","ko","THEO 띠오","https://korean.visitseoul.net/attractions/THEO/KOP9q04ig?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP9q04ig"," 서울 강남구 삼성동 124-16 ","06156 서울 강남구 봉은사로68길 55-3 (삼성동, BANG2011)  지하 1층","02-556-7290","","https://gallerytheo.com/","13:00~19:00","화요일~토요일","월요일, 일요일, 공휴일","9호선 삼성중앙역 6번출구에서 약 539m (도보 7분)","선정릉,미술관,갤러리,THEO,삼성동전시회,전시회,무료전시",""
"43458","ko","JS슈즈디자인연구소","https://korean.visitseoul.net/attractions/2023048/KOPaw1wws?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOPaw1wws"," 서울 성동구 성수동2가 350 ","04775 서울 성동구 성덕정길 72-4 (성수동2가) 2층 ","010-5204-1060","","http://www.xn--js-xw5jh5u.kr/","평일 09:00~19:00, 주말 10:00~19:00","매일","없음","2호선 성수역 3번출구에서 약 957m (도보 15분)"," 전태수수제화,오래가게, 수제화, 성수동카페거리, 성수, 남자구두, 여자구두",""
"28338","ko","ECC(Ewha Campus Complex)","https://korean.visitseoul.net/attractions/ECCEwha-Campus-Complex/KOP028338?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP028338","120-750 서울 서대문구 대현동 11-1 ","03760 서울 서대문구 이화여대길 52 (대현동, 이화여자대학교) ","","","","","","","2호선 이대역 3번 출구에서 약 500m (도보 7분)"," 전시관, 홍대, 이대, 강의실, 독서실, 공연, EwhaCampusComplex,ECC,이화여자대학교",""
"29561","ko","aT센터","https://korean.visitseoul.net/attractions/aT센터/KOP029561?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP029561"," 서울 서초구 양재동 232 ","06774 서울 서초구 강남대로 27 (양재동, AT센터) ","02-6300-1114","","http://atcenter.at.or.kr/","","","","신분당선 양재시민의숲역 4번 출구에서 약 60m (도보 1분)"," MICE,국제회의, 회의실,aT센터, 양재시민의숲역,박람회, 교역전, 전시,컨벤션",""
"37879","ko","HYBE INSIGHT (하이브 뮤지엄)","https://korean.visitseoul.net/attractions/HYBE-INSIGHT/KOP037879?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP037879"," 서울 용산구 한강로3가 65-9 ","04389 서울 용산구 한강대로 42 (한강로3가, 용산트레이드센터) 하이브 인사이트 지하 1, 2층","","","https://hybeinsight.com","11:00 ~ 21:00 (입장 마감 18:55)","화~일","월요일","4호선 신용산역 2번 출구에서 569m","서울,bts,방탄소년단,엔터테인먼트,BTS,HYBEINSIGHT,하이브인사이트뮤지엄,방탄소년단전시,이촌가볼만한곳,이촌역,하이브뮤지엄,복합문화공간",""
"37044","ko","KCDF갤러리","https://korean.visitseoul.net/attractions/KCDF갤러리/KOP037044?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP037044"," 서울 종로구 관훈동 182-2 ","03145 서울 종로구 인사동11길 8 (관훈동, 공예종합유통지원센터) ","02-732-9382","","https://www.kcdf.or.kr","- 전시장 화요일~일요일 10:00~18:00 - 공예정원 화요일~일요일 10:00 ~ 19:00 (휴게시간 12:00 ~ 13:00) - KCDF 자료실  화요일~금요일 09:00~18:00, 토요일 10:00~19:00 (12:00~13:00 점심시간)","매일","","3호선 안국역 6번 출구에서 약 380m (도보 5분) ","공예전문갤러리,디자인,kcdf,한국공예디자인문화진흥원,공예",""
"2885","ko","PKM갤러리","https://korean.visitseoul.net/attractions/PKM갤러리/KOP002885?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP002885","110-230 서울 종로구 삼청동 157-83 ","03049 서울 종로구 삼청로7길 40 (삼청동, 피케이엠 갤러리) ","02-734-9467","","http://www.pkmgallery.com/","10:00 ~ 18:00 ","화요일 ~ 일요일","월요일 ","3호선 안국역 1번 출구에서 약 1.2km (도보 15분) "," 안국역, 갤러리투어, 미술관, 회화, 화랑, PKM갤러리,삼청동갤러리, 윈도우갤러리,한옥, 영상, 광화문, 조각",""
