"고유번호","언어","상호명","콘텐츠URL","주소","신주소","전화번호","웹사이트","운영시간","운영요일","휴무일","교통정보"
"23543","ko","문화비축기지","https://korean.visitseoul.net/nature/parksseoul/KOP023543?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP023543","121-250 서울 마포구 성산동 661 ","03914 서울 마포구 증산로 87 (성산동) ","02-376-8410","http://parks.seoul.go.kr/template/sub/culturetank.do","공원-연중무휴 상시개방 / 탱크-10:00~18:00","공원- 연중무휴 상시개방 / 탱크-화요일~일요일","월요일(탱크)","6호선 월드컵경기장역(성산) 2번 출구에서 약 790m (도보 14분) "
"5032","ko","여의도샛강생태공원","https://korean.visitseoul.net/nature/여의도샛강생태공원/KOP005032?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP005032","150-913 서울 영등포구 여의도동 4-9 330","07323 서울 영등포구 여의동로 48 (여의도샛강생태공원 방문자센터) ","02-3780-0570","http://hangang.seoul.go.kr/archives/316/","","월요일 ~ 일요일","","9호선, 신림선 샛강역 4번 출구에서 약 643m (도보 10분) "
"1799","ko","매화근린공원 ","https://korean.visitseoul.net/nature/매화공원/KOP001799?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP001799","157-839 서울특별시 강서구 등촌1동 630-13 ","  ","02-2600-4187","http://parks.seoul.go.kr/parks/detailView.do?pIdx=18","","월요일 ~ 일요일","","9호선 증미역 4번 출구에서 약 59m (도보 1분) "
"5479","ko","서울대공원","https://korean.visitseoul.net/nature/서울대공원/KOP005475?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP005475","427-702 경기 과천시 막계동 159-1 ","13829 경기 과천시 대공원광장로 102 (막계동, 서울대공원) ","02-500-7335","http://grandpark.seoul.go.kr","[동?식물원 테마가든] 하절기(5월~10월) 09:00~19:00  동절기(11~2월) 09:00~17:00  간절기(3~4월, 9~10월) 09:00~18:00 온실식물원 10:00~16:00(연중)","월요일 ~ 일요일 ","연중무휴","4호선 대공원역 2번 출구에서 약 371m (도보 6분)  "
"38861","ko","월드컵공원 반려견놀이터","https://korean.visitseoul.net/nature/월드컵공원-반려견놀이터/KOP038861?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP038861"," 서울 마포구 상암동 1535 ","03901 서울 마포구 증산로 32 (상암동, 안내소) ","02-2124-2835","http://animal.seoul.go.kr/animalplay","","","","6호선 월드컵경기장역 1번 출구에서 약 771m (도보 13분)"
"45595","ko","서대문 홍제폭포","https://korean.visitseoul.net/nature/2024-hongjewaterfall/KOP2xzi3t?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP2xzi3t"," 서울 서대문구 홍은동 429 ","03653 서울 서대문구 연희동 170-181 ","02-2236-9134","","폭포 가동 시간: 연중무휴 08:00 - 21:00","","","3호선 홍제역 4번 출구에서 7713, 7738 버스 탑승, 백련교 정류장에서 하차 후 213m (도보 4분) "
"23466","ko","서울함 공원","https://korean.visitseoul.net/nature/hanriverhamsangpark/KOP023466?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP023466","121-889 서울 마포구 망원동 205-5 ","03954 서울 마포구 마포나루길 407 (망원동, 세븐일레븐) ","02-332-7500","https://www.seoulbattleshippark.com/ ","하절기(3~10월) 평일 10:00~19:00, 주말 10:00~20:00 동절기(11~2월) 평일 10:00~18:00, 주말 10:00~18:00  (*입장 마감은 폐관30분 전까지)","화요일~일요일","매주 월요일, 1월1일, 설날 및 추석 당일 ","6호선 망원역 1번 출구 앞에서 마포09번 버스 탑승, 한강공원입구 정류장에서 하차 후 약 592m (도보 9분) 2,6호선 합정역 1번 출구 앞 홀트아동복지회 정류장에서 마포16번 버스 탑승, 화평교회 버스정류장 하차 후 약 537m (도보 8분)"
"35118","ko","한강예술공원","https://korean.visitseoul.net/nature/한강예술공원/KOP035118?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP035118"," 서울 영등포구 여의도동 8 ","07337 서울 영등포구 여의동로 330 (여의도동, 한강사업본부 여의도안내센터) / 이촌 한강공원, 여의도 한강공원 (작품별 상이)","","http://hangangartpark.kr/main/","24시간","연중무휴","","작품별 상이"
"2029","ko","홍릉시험림(홍릉숲)","https://korean.visitseoul.net/nature/설화수-발란스-스파/KOP002029?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP002029"," 서울 동대문구 청량리동 207 ","02455 서울 동대문구 회기로 57 (청량리동, 국립산림과학원) ","02-961-2777","https://nifos.forest.go.kr/kfsweb/kfi/kfs/cms/cmsView.do?cmsId=FC_001635&mn=UKFR_02_05_02_01","평일 10:30 - 15:30 3월~11월(화~금)-숲해설(10:30, 13:30, 15:30) 주말 09:00 - 18:00 3월~10월(하절기)-자유관람 주말 09:00 - 17:00 11월~2월(동절기)-자유관람 주말 10:30 - 14:00 3월~11월-숲해설(10:30, 14:00)","화요일 ~ 일요일","월요일 / 5월 1일 / 법정공휴일(단, 토요일 또는 일요일이 법정공휴일인 경우엔 휴무)","6호선 고려대역 3번 출구에서 약 636m (도보 9분)"
"3136","ko","청운공원","https://korean.visitseoul.net/nature/청운공원/KOP003136?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP003136"," 서울시 종로구 청운동 3-55 "," 서울시 종로구 창의문로 119 (청운동) ","","","","","","3호선 경복궁역 3번 출구에서 지선버스 7022, 1020, 7012번 탑승, 자하문고개.윤동주문학관 정류장 하차 후 약 194m (도보 6분)"
"1136","ko","석촌호수공원 ","https://korean.visitseoul.net/nature/석촌호수공원/KOP001136?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP001136","138-915 서울 송파구 잠실동 47 ","05608 서울 송파구 삼학사로 136 (서울놀이마당) ","02-412-0190","","","매일","연중무휴","2,8호선 잠실역 2번 출구에서 약 282m (도보 5분)  "
"2257","ko","불광천","https://korean.visitseoul.net/nature/불광천/KOP002257?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP002257"," 서울 은평구 불광동 서대문구 북가좌동 일대 "," 서울 은평구 불광동 서대문구 북가좌동 일대 ","","","","","","6호선 응암역 4번 출구에서 약 185m (도보 2분) "
"11399","ko","뚝섬유원지","https://korean.visitseoul.net/nature/뚝섬유원지/KOP011395?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP011395"," 서울특별시 광진구 자양동 704-1 뚝섬 한강공원","05097 서울특별시 광진구 강변북로 139  (자양동) ","02-3780-0521","","","","","7호선 자양역 2번 출구에서 약 192m (도보 3분)"
"42914","ko","찬바람이 쌩쌩 부는 겨울,  찜질방 데이트","","  ","  ","","","","","",""
"3008","ko","낙성대 공원","https://korean.visitseoul.net/nature/낙성대-공원/KOP003008?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP003008","151-851 서울 관악구 봉천동 228 ","08799 서울 관악구 낙성대로 77 (봉천동, 낙성대공원) ","02-879-6519","http://www.gwanak.go.kr/site/gwanak/05/10503010100002016051205.jsp","","","","2호선 낙성대역 4번 출구에서 약 876m (도보 13분)"
"36947","ko","가을단풍길 - 남산남측순환로","https://korean.visitseoul.net/nature/남산남측순환로/KOP036947?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP036947"," 서울 용산구 용산동2가 산 1-3 ","04340 서울 용산구 남산공원길 126 (용산동2가) ","02-2199-7623(용산구청 공원녹지과)","https://www.seoul.go.kr/storyw/autumn/list.do","","","","3, 4호선 충무로역 또는 3호선 동대입구역 순환버스 01번(남산순환) 탑승 후 '서울타워' 하차"
"2275","ko","노원천문우주과학관 ","https://korean.visitseoul.net/nature/영어과학공원/KOP002275?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP002275","139-863 서울 노원구 중계동 507-1 노원우주학교","01779 서울 노원구 동일로 동일로 205길 13 노원우주학교 ","02-971-6232","https://www.nowoncosmos.or.kr/","오전 9:30~오후 5:30 (*5시까지 입장가능) 천문대 야간관측 금요일, 토요일 야간관측 19:30~21:00","","월요일, 1월 1일, 설날 당일, 추석 당일  공원은 휴무일 없음","7호선 하계역 6번 출구에서 약 501m (도보 7분) "
"4064","ko","길동생태공원","https://korean.visitseoul.net/nature/길동생태공원/KOP004063?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP004063","134-808 서울 강동구 길동 3 ","05291 서울 강동구 천호대로 1291 (길동) ","02-472-2770","http://parks.seoul.go.kr/gildong","09:00 - 16:00   ","화~일","월요일","5호선 길동역 2번 출구에서 약 1.4km (도보 23분)"
"29422","ko","등잔 밑이 어둡다, 우리 동네 보석 같은 공원","","  ","  ","","","","","",""
"2302","ko","불광천 해담는다리","https://korean.visitseoul.net/nature/불광천-해담는다리/KOP002300?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP002300"," 서울 서대문구 북가좌동 345-1 해담는다리","03680 서울 서대문구 불광천길 156 ","02-120","","","","","6호선 증산역 2번 출구에서 약 221m (도보 3분) "
"28280","ko","사직공원","https://korean.visitseoul.net/nature/사직공원/KOP028280?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP028280"," 서울 종로구 사직동 1-28 ","03027 서울 종로구 사직로 89 (사직동) ","02-2148-2835","http://parks.seoul.go.kr/parks/detailView.do?pIdx=106","","","연중무휴","3호선 경복궁역 1번 출구에서 약 337m (도보 6분)"
"1411","ko","강서습지생태공원 ","https://korean.visitseoul.net/nature/강서습지생태공원/KOP001411?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP001411"," 서울특별시 강서구 방화동 47 ","07518 서울특별시 강서구 양천로27길 279-23 ","02-3780-0621","https://hangang.seoul.go.kr/www/contents/675.do?mid=482","참여인원, 신청방법, 진행프로그램 등 세부정보는 서울시공공서비스예약사이트를 참고해 주시길 바랍니다. *단체 및 개인 관찰 -자유롭게 이용 (일출 전,일몰 후에는 출입 제한) ","","","5호선 방화역 1번 출구에서 약 2km (도보 31분) "
"11072","ko","홍익문화공원","https://korean.visitseoul.net/nature/홍대-놀이터/KOP011070?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP011070"," 서울 마포구 서교동 358-36 서교빌딩","04040 서울 마포구 와우산로21길 19-3 서교빌딩","02-120","","","","","6호선 상수역 1번 출구에서 약 549m (도보 8분)"
"39706","ko","서리풀 공원","https://korean.visitseoul.net/nature/서리풀-공원/KOP039706?utm_source=seoulopendata&utm_medium=nature&utm_content=KOP039706"," 서울 서초구 방배동 126-1 서리풀공원","06661 서초동 1005-6 ","02-2155-6861","","","매일","","7호선 내방역 8번 출구에서 약 977m (도보 21분)"
